Temps (s),Tension (V),Courant (A),Watt (W)
367,5.15231,1.02800,5.29657468
368,5.14563,1.10025,5.661479407499999
369,5.14706,1.08868,5.6035012808
370,5.14669,1.09307,5.625692438300001
371,5.14725,1.08575,5.5886266875
372,5.14781,1.07688,5.5435736328
373,5.14675,1.08712,5.59513486
374,5.14625,1.09675,5.6441496875
375,5.14750,1.08825,5.601766875
376,5.14875,1.07120,5.515340999999999
377,5.14762,1.07580,5.537809596000001
378,5.14694,1.08572,5.5881356968
379,5.14794,1.07887,5.5539580278
380,5.14863,1.07220,5.520361086
381,5.14875,1.07340,5.526668249999999
382,5.14834,1.07660,5.542702844
383,5.14844,1.07360,5.527365184000001
384,5.14938,1.06250,5.4712162499999994
385,5.14950,1.06095,5.463362025
386,5.14844,1.07120,5.515008927999999
387,5.14812,1.07557,5.5371634283999995
388,5.14825,1.07537,5.5362736025
389,5.14900,1.06370,5.476991300000001
390,5.14988,1.05245,5.419991206
391,5.14862,1.07215,5.520092933
392,5.14750,1.08375,5.578603125
393,5.14750,1.07778,5.54787255
394,5.14812,1.07375,5.527793849999999
395,5.14931,1.05887,5.4524498797
396,5.14900,1.06013,5.4586093700000005
397,5.14831,1.07063,5.5119351353
398,5.14853,1.06765,5.4968280545
399,5.14913,1.05040,5.408646152
400,5.14975,1.05360,5.425776600000001
401,5.14969,1.05258,5.4204607002
402,5.14906,1.06242,5.4704643252
403,5.14888,1.06762,5.4970472656
404,5.14960,1.06225,5.4701626
405,5.15000,1.05242,5.419963
406,5.14994,1.05026,5.4087759844
407,5.14937,1.05810,5.448548397000001
408,5.14944,1.06150,5.466130560000001
409,5.14862,1.06938,5.5058312556
410,5.15031,1.042103,5.36715350193
411,5.16244,0.91190,4.707629036
412,5.16225,0.91730,4.7353319250000006
413,5.14969,1.05710,5.4437372989999995
414,5.14725,1.08228,5.570765729999999
415,5.14806,1.07860,5.552697516
416,5.14919,1.05980,5.457111562000001
417,5.15031,1.04767,5.395825277700001
418,5.14994,1.05553,5.4359161682
419,5.14963,1.05405,5.4279675014999995
420,5.15019,1.04460,5.379888474
421,5.15050,1.04410,5.377637050000001
422,5.14988,1.05363,5.4260680644
423,5.15000,1.04938,5.404307
424,5.14987,1.05182,5.4167362634
425,5.14938,1.06475,5.4828023550000005
426,5.15000,1.06125,5.4654375
427,5.15000,1.05630,5.439945000000001
428,5.15056,1.05132,5.4148867392
429,5.15113,1.04795,5.3981266835
430,5.15037,1.05565,5.4369880905
431,5.15075,1.05165,5.4167862375
432,5.15112,1.05010,5.409191112
433,5.15025,1.05936,5.455968840000001
434,5.15119,1.04430,5.379387716999999
435,5.15181,1.03550,5.334699255
436,5.15150,1.03745,5.344423675000001
437,5.14999,1.04975,5.4062020025
438,5.14944,1.05795,5.447850048
439,5.14962,1.05547,5.435269421399999
440,5.15087,1.04158,5.3650431746
441,5.15113,1.03790,5.346357827
442,5.15187,1.03313,5.3225514531
443,5.15188,1.03200,5.31674016
444,5.15000,1.04960,5.4054400000000005
445,5.15050,1.04295,5.3717139750000005
446,5.15063,1.04050,5.359230514999999
447,5.15056,1.04670,5.3910911519999996
448,5.15106,1.04297,5.3724010481999995
449,5.15125,1.03889,5.351582112500001
450,5.15094,1.03960,5.354917224000001
451,5.15081,1.04300,5.3722948299999995
452,5.15125,1.04370,5.376359625
453,5.15131,1.04465,5.3813159915
454,5.15225,1.03610,5.338246225000001
455,5.15213,1.03847,5.3503324411
456,5.15113,1.04542,5.385094324600001
457,5.15056,1.04537,5.384240907199999
458,5.15063,1.04130,5.363351018999999
459,5.15063,1.04150,5.364381145
460,5.15063,1.03967,5.3549554921
461,5.15012,1.04835,5.399128301999999
