Temps (s),Tension (V),Courant (A),Watt (W)
509,5.023,0.48387,2.43047901
510,5.02312,0.48500,2.4362131999999996
511,5.02312,0.48825,2.45253834
512,5.02375,0.48342,2.428581225
513,5.02475,0.48230,2.423436925
514,5.02444,0.48968,2.4603677792000003
515,5.02319,0.48832,2.4529241407999995
516,5.02319,0.48740,2.4483028059999996
517,5.02388,0.48993,2.4613495284
518,5.02550,0.48995,2.462243725
519,5.02580,0.48750,2.4500775
520,5.02500,0.48535,2.43888375
521,5.02431,0.48698,2.4467384838
522,5.02444,0.48575,2.44062173
523,5.02437,0.48575,2.4405877275
524,5.02444,0.48597,2.4417271068
525,5.02431,0.48463,2.4349313553
526,5.02550,0.48360,2.4303318
527,5.03050,0.46600,2.3442130000000003
528,5.04812,0.44400,2.24136528
529,5.08262,0.36500,1.8551563
530,5.11312,0.26947,1.3778324464
531,5.12400,0.24928,1.27731072
532,5.12688,0.24455,1.253778504
533,5.12838,0.24450,1.25388891
534,5.12875,0.24450,1.2539793750000001
535,5.12875,0.24435,1.2532100625
536,5.12875,0.24412,1.2520304500000001
537,5.12875,0.24400,1.251415
538,5.12875,0.24400,1.251415
539,5.12575,0.24408,1.2510930599999999
540,5.11737,0.24427,1.2500199699
